科目代碼,會計科目,日期,傳票號碼,種類,摘要,本幣借方金額,本幣貸方金額,借貸,餘額,幣別,匯率,原幣借方金額,原幣貸方金額
2120,應付票據 ,2024/01/08,11201070001,3,4/30FA6528672(準則) ,0.0,"268,800",貸,1429239.0,USD,31.045,0.0,8658.4
5300,物料進料 ,2024/02/23,11202250002,3,配管.鍍鋅管等 ,2088100.0,0,借,418652.0,CNY,4.402,8246.09,0.0
1110,銀行存款 ,2024/01/09,11201090001,3,合庫-雙和(乙存) ,0.0,"8,680,100",借,8486286.0,USD,31.07,0.0,279372.38
8010,利息支出 ,2024/01/09,11201090001,3,廠融貸款利息 ,8680100.0,0,借,149785.0,USD,31.07,279372.38,0.0
1110,銀行存款 ,2024/01/10,11201140001,3,合庫-雙和(乙存) ,0.0,"14,062,500",借,8345661.0,JPY,0.2168,0.0,64863929.89
1290,進項稅額 ,2024/01/10,11201140002,3,,40000.0,0,借,68459.0,USD,31.17,1283.29,0.0
2120,應付票據 ,2024/01/10,11201140002,3,4/30FA6528671(裕宏) ,0.0,"840,000",貸,1437639.0,USD,31.17,0.0,26948.99
5300,物料進料 ,2024/03/25,11203250001,3,不銹鋼板.鐵板等 ,61843700.0,0,借,1037089.0,USD,31.915,25665.7,0.0
8010,利息支出 ,2024/01/10,11201140001,3,土地貸款利息 ,14062500.0,0,借,290410.0,JPY,0.2168,64863929.89,0.0
1110,銀行存款 ,2024/01/15,11201150001,3,合庫-雙和(乙存) ,520000000.0,0,借,13545661.0,CNY,4.369,119020370.79,0.0
1110,銀行存款 ,2024/01/15,11201150001,3,板信-雙和(乙存轉出) ,0.0,"520,000,000",借,8345661.0,CNY,4.369,0.0,119020370.79
1110,銀行存款 ,2024/01/15,11201150002,3,合庫-雙和(支存) ,0.0,"194,420,000",借,6401461.0,USD,31.27,0.0,6217460.83
1110,銀行存款 ,2024/01/15,11201150003,3,合庫-雙和(乙存) ,0.0,"13,240,300",借,6269058.0,USD,31.27,0.0,423418.61
1290,進項稅額 ,2024/01/15,11201150003,3,電費 ,30900.0,0,借,68768.0,USD,31.27,988.17,0.0
1290,進項稅額 ,2024/01/15,11201150004,3,,22500.0,0,借,68993.0,USD,31.27,719.54,0.0
